id;origin;destination;flight_number;carrier;departure_date;arrival_date
1;Manat Fundamental Metal;bandwidth Developer;Cambridgeshire Mountains;Uruguayo primary Senior;2022-03-27T08:25:01;2022-03-28T03:09:52
2;open;Optional real-time Pound;product withdrawal;global Computer;2022-03-27T19:58:53;2022-03-28T00:27:04
3;Tools Movies;Soap bypassing monitor;Toys system-worthy wireless;indigo;2022-03-27T08:03:02;2022-03-27T18:40:27
4;Solutions;parsing alarm;black bus;interactive Cambridgeshire Metal;2022-03-27T23:55:47;2022-03-27T08:13:00
5;even-keeled azure Wooden;content-based Engineer violet;Cambridgeshire Small Account;Internal;2022-03-27T11:04:29;2022-03-27T12:51:14
6;Granite;Human Pizza Directives;Soft;quantify Metal;2022-03-27T10:22:27;2022-03-28T07:33:08
7;Sleek bus;Soft Serbia;task-force out-of-the-box Sterling;plug-and-play;2022-03-27T17:22:52;2022-03-27T18:55:56
8;Keyboard Savings;SSL silver Multi-layered;Tools reboot Tobago;Texas Indiana sensor;2022-03-27T13:20:35;2022-03-28T05:57:14
9;cyan;Brand;Iceland;Islands success;2022-03-27T19:36:00;2022-03-27T08:27:21
10;Idaho withdrawal productivity;eyeballs;Marketing violet;functionalities;2022-03-27T07:52:12;2022-03-27T10:49:51
